subject,object,maxClinicalTrialPhase
CHEMBL1042,HP_0100543,4.0
CHEMBL1042,MONDO_0002898,4.0
CHEMBL1042,EFO_0003854,4.0
CHEMBL1042,EFO_0000274,4.0
CHEMBL1042,EFO_0000676,4.0
CHEMBL1042,EFO_0000694,4.0
CHEMBL1042,MONDO_0004647,4.0
CHEMBL1042,MONDO_0021063,4.0
CHEMBL1042,EFO_0005681,4.0
CHEMBL1042,Orphanet_145,4.0
CHEMBL1042,EFO_0004272,4.0
CHEMBL1042,EFO_0002609,4.0
CHEMBL1042,EFO_0000400,4.0
CHEMBL1042,MONDO_0004992,4.0
CHEMBL1042,EFO_0008572,4.0
CHEMBL1042,Orphanet_309005,4.0
CHEMBL1042,EFO_0000222,4.0
CHEMBL1042,MONDO_0011382,4.0
CHEMBL1042,EFO_0000474,4.0
CHEMBL1042,EFO_0007405,4.0
CHEMBL1042,EFO_0000764,4.0
CHEMBL1042,MONDO_0005148,4.0
CHEMBL1042,EFO_0000729,4.0
CHEMBL1042,EFO_1000049,4.0
CHEMBL1042,MONDO_0002050,4.0
CHEMBL1042,EFO_0000544,4.0
CHEMBL1042,EFO_0000095,4.0
CHEMBL1042,EFO_0009686,4.0
CHEMBL1042,EFO_0003762,4.0
CHEMBL1042,EFO_0003106,4.0
CHEMBL1042,MONDO_0005180,4.0
CHEMBL1042,EFO_0000756,4.0
CHEMBL1042,HP_0001891,4.0
CHEMBL1042,EFO_0000180,4.0
CHEMBL1042,EFO_1000961,4.0
CHEMBL1042,MONDO_0002363,4.0
CHEMBL1042,HP_0000938,4.0
CHEMBL1042,EFO_0000319,4.0
CHEMBL1042,EFO_0004593,4.0
CHEMBL1042,EFO_0003931,4.0
CHEMBL1042,HP_0001742,4.0
CHEMBL1042,MONDO_0005090,4.0
CHEMBL1042,MONDO_0002146,4.0
CHEMBL1042,EFO_0000341,4.0
CHEMBL1042,MONDO_0018975,4.0
CHEMBL1042,EFO_0004261,4.0
CHEMBL1042,EFO_1001951,4.0
CHEMBL1042,MONDO_0100096,4.0
CHEMBL1042,EFO_0000403,4.0
CHEMBL1042,EFO_0007214,4.0
CHEMBL1042,EFO_0003964,4.0
CHEMBL1042,EFO_1000653,4.0
CHEMBL1042,EFO_0002546,4.0
CHEMBL1042,EFO_0000519,4.0
CHEMBL1042,EFO_0000555,4.0
CHEMBL1042,EFO_0003944,4.0
CHEMBL1042,MONDO_0044881,4.0
CHEMBL1042,EFO_0003758,4.0
CHEMBL1042,HP_0011950,4.0
CHEMBL1042,EFO_0002496,4.0
CHEMBL1042,EFO_0008506,4.0
CHEMBL1042,MONDO_0021187,4.0
CHEMBL1042,MONDO_0018076,4.0
CHEMBL1042,EFO_1001121,4.0
CHEMBL1042,EFO_0004248,4.0
CHEMBL1042,EFO_0003095,4.0
CHEMBL1042,MONDO_0005147,4.0
CHEMBL1042,EFO_0000384,4.0
CHEMBL1042,EFO_1000657,4.0
CHEMBL1042,EFO_0000196,4.0
CHEMBL1042,EFO_0000280,4.0
CHEMBL1042,EFO_0003882,4.0
CHEMBL1042,EFO_0005411,4.0
CHEMBL1042,EFO_0000195,4.0
CHEMBL1042,EFO_0000673,4.0
CHEMBL1042,EFO_0003144,4.0
CHEMBL1042,Orphanet_43,4.0
CHEMBL1042,EFO_0003103,4.0
CHEMBL1043,EFO_0000764,4.0
CHEMBL1043,EFO_1000760,4.0
CHEMBL1043,EFO_1000680,4.0
